title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
IRS Training Manuals,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,IRSTrainingManuals637S(2025),2025-08-13,2025-09-03,Inactive,,"These specifications cover the production of publications requiring such operations as electronic prepress, reproduction, binding, packing, and distribution. Complete specifications may be found at: https://www.gpo.gogv/how-to-work-with-us",https://sam.gov/opp/f3fbb613d10d4a8da70458740cda81d4/view,,
Editorial Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,EditorialServices425S(2025),2025-08-13,2025-08-25,Inactive,,"These specifications cover editorial services for various publications and products requiring such operations as proofreading, copyediting, substantive editing, and formatting services, including 508 compliance. Complete specifications may",https://sam.gov/opp/4d06970098444a32a5bdb8d56f6fa74c/view,,
Library of Congress - ERAL - Audio Converters,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,2025-LGR-0223,2025-08-13,,Inactive,,"The Library of Congress awarded competitive contract LCLGR25P0024 to B&H Foto for the total amount of $133,889.00.",https://sam.gov/opp/82ba6db2f76642ae90ffa1030ee90413/view,B & H FOTO & ELECTRONICS CORP.,
Library of Congress - Auditing Services IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25R0015,2025-08-13,,Inactive,,Full list of fixed priced IDIQ awards: 1. Contract Award Number: LCOIG25D0001 Contractor Awarded Name: Ernst & Country: USA Zip: 10001 City: New York State:,https://sam.gov/opp/f42f9fb811834d0baecd738f2c2ca89c/view,ERNST & YOUNG LLP,
C-17 Publications,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program1575Sr1,2025-08-12,2025-08-27,Inactive,,"These specifications cover the production of looseleaf technical and miscellaneous publications requiring such operations as DVD duplication, printing/imaging, tab dividers, binding, labeling, mailing, packing and distribution.",https://sam.gov/opp/970406b11ac14a30a6abdfe534d6ecd7/view,,
U.S. Senate Digital Flatbed Cutter,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2025-R-073,2025-08-12,2025-08-22,Inactive,,"**SUBMISSION DEADLINE EXTENDED TO AUGUST 22, 2025** The United States Senate, Office of the Sergeant at Arms (SAA) seeks digital flatbed cutter. Request for Quotation (RFQ) 2025-R-073 Digital Flatbed Cutter <p",https://sam.gov/opp/9e1a331116b74be7af9b9323e8f69c73/view,,
Navy Yard Signs - #016-0544 (REV11 /24) and #016-0549 - with stakes,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,432655,2025-08-12,,Inactive,,Yard Signs,https://sam.gov/opp/bc560f90a17e43c5bf369ef919fb59ab/view,Plastimatic Arts Corporation,
Timber and Forest Product Tags,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,TimberandForestProductTags3034S(2025),2025-08-11,2025-08-21,Inactive,,"These specifications cover the production of tags requiring such operations as electronic prepress, printing, numbering, construction, packing, and distribution. Complete specifications may be found at: https://www.gpo.",https://sam.gov/opp/c38e59c41ac042f4a2932a639101c867/view,,
Coolidge Auditorium Robotic Cameras,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25Q0190,2025-08-08,2025-08-18,Inactive,,"The Coolidge Auditorium in the Thomas Jefferson Building was constructed in 1925, designed specifically for chamber music. A facility renovation in 1997 introduced standard definition broadcast cameras to the venue. These cameras are currently pow",https://sam.gov/opp/2c7d4ed56d314fe0a4d0462e8d122de8/view,,
NATOPS Pocket Checklists,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,NATOPSPocketChecklists6936S(2025),2025-08-08,2025-09-04,Inactive,,"These specifications cover the production of various books and pamphlets (of varying size and quantity) on an expedited schedule. Operations required include copy pickup, packing, lithographic printing, proofs, labeling and marking, pre-paid maili",https://sam.gov/opp/f9e41a4ab5af4eb490f351e813412eec/view,,
U.S. Senate ServiceNow Enterprise Licenses,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2025-R-078,2025-08-07,2025-08-13,Inactive,,**Amended Request for Quotation 2025-R-078 Published 08.07.2025** U.S. Senate Request for Quotation 2025-R-078 for ServiceNow Enterprise Licenses.,https://sam.gov/opp/6a533ee7cf5b4b1f847b37e03afd99b0/view,,
Veterans Crisis Line Parking Lot Signs,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Special Notice,647-658,2025-08-06,2025-08-12,Inactive,,"Amendment 1. Bid Opening date has changed to August 12, 2025 at 11:00AM, EST.",https://sam.gov/opp/b01cfe91d2df4229a85ef04fe2143411/view,,
"Purchase of Turntables, Tonearms and Custom Plinths",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGR25P0022,2025-08-06,,Inactive,,"A public competition was held to purchase 2 (two) Technics SP10R turntables, with 2 (two) custom plinth, and 2 (two) compatible 12” SME tone arms. It was a public competition, multiple offer were recieved, and the award was made to the",https://sam.gov/opp/9229f4d581ad4835ae3cf46181fcdee7/view,TEKTONICS DESIGN GROUP LLC,
Veterans Crisis Line Parking Lot Signs,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,647-658,2025-08-06,2025-08-12,Inactive,,Full specifications are available at https://www.gpo.gov/docs/default-source/contracts/647658.pdf,https://sam.gov/opp/839e203207724366a459d3d71ff04936/view,,
House Media Browser - Amendment 0001,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Solicitation,OAM25062S,2025-08-05,2025-08-19,Inactive,,"For more information on this Request for Proposals (RFP), please navigate to: https://www.house.gov/doing-business-with-the-house and look under ""Current Solicitations."" Thie RFP is currently located at the bottom of the webpage. <p",https://sam.gov/opp/3158bb0bfbd440a38f7e030041e41ede/view,,
Xytech Software Maintenance and Support,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,030ADV25R0044,2025-08-05,2025-08-19,Inactive,,"This notice is published in accordance with Federal Acquisition Regulation (FAR) 5.101(a)(1) requiring the dissemination of information regarding proposed contract actions. This is a Notice of Intent to award a sole source, firm-fixed price purcha",https://sam.gov/opp/482387343d1e48c989f2e80bd2d4f0d6/view,,
Small Scale Braille and Tactile Graphic Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25Q0188,2025-08-01,2025-08-05,Inactive,,"Amendment 2 - The purpose of this amendment is to: 1. Extend the solicitation by one (1) day with proposals now due by 15:00 EDT on August 5, 2025. 2. Add Attachment E – Past Performance Questionnaire. 3. Correct Section",https://sam.gov/opp/00f6edb40de34e13864de1d58d361910/view,,
Sylvanus Thayer: A Biography,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,SylvanusThayerABiography619195,2025-08-01,2025-08-05,Inactive,,"Case Bound Covers: Black Vellum Cloth covers and spine with embossed gold stamping. Embossed Gold foil stamping on cover 1 and spine. Stamping: Stamp front cover and spine (reads across), stamping must have solid impressions-no picking, pinholes,",https://sam.gov/opp/903154c8567f4374a96eb083ba6989e3/view,,
FADGI Embedded Metadata Tools and Services Continued Development,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGD25P0014,2025-07-31,,Inactive,,,https://sam.gov/opp/15126d8e78e745c0a93801fb35be598b/view,RICECAPADES LLC,
GPO Room C109 Police Locker Room Design/Build Construction,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-25-R-0027-C0001,2025-07-31,2025-08-25,Inactive,,Soliciation Amendment C0001 is issued for the purposes of publshing responses to questions from potential offerors and amending Section L.2. of the solicitation.,https://sam.gov/opp/c6dca34e1ed64c8aa1d04134236c7bdf/view,,
2025 CVC Multi-Brochures.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Presolicitation,Jacket_432-760,2025-07-30,2025-08-04,Inactive,,All the requirements of these specifications apply equally to all items unless otherwise indicated Brochures print face and back in CMYK and 2 Pantones colors consisting of illustrations with type/rule matter with some type reversing out t,https://sam.gov/opp/8ddfae88a2d64060a5ceb6d0e1099388/view,,
Senate Document Management System,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2025-R-060,2025-07-30,2025-08-08,Inactive,,"**SUBMISSION DEADLINE EXTENDED TO AUGUST 8, 2025** **BIDDERS Q&A RESPONSES PUBLISHED ON JULY 30, 2025** The United States Senate, Office of th",https://sam.gov/opp/535d892227614350bc59562c19fd7f97/view,,
U.S. Senate Netscout Maintenance and Support Services,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2025-R-077,2025-07-29,2025-08-11,Inactive,,"The United States Senate, Office of the Sergeant at Arms (SAA) seeks brand name Netscout maintenance and support services (renewal). Request for Quotation (RFQ) 2025-R-077 Netscout Maintenance and Support Services The enclosed file",https://sam.gov/opp/48bec1c12a404075989f5aa9edb8f536/view,,
